M1 >
(size of Audio: 48 X 13)
(M1 - size of Encoded: 48 X 2)
0.952842 0.554935 
0.81361 1.97091 
0.841697 2.9646 
-0.211839 1.47446 
-1.30006 0.996137 
0.300045 1.24243 
-0.660386 1.99016 
2.43254 2.3917 
4.16446 3.7434 
1.26265 1.31305 
1.72738 2.30912 
2.3806 3.296 
2.30857 2.14946 
1.54168 2.66775 
1.78967 3.65384 
1.01257 1.96858 
0.933904 0.85951 
0.446899 1.76727 
0.628407 0.878754 
0.463121 2.60229 
0.237701 -0.00830776 
0.20295 1.47794 
-0.543053 2.15171 
-0.316915 4.14773 
0.0941632 3.79529 
0.55825 3.69279 
-0.287949 1.29652 
0.307862 1.84243 
0.223075 1.70813 
-0.737181 -0.133444 
0.22912 2.64382 
-1.12202 0.0710389 
-1.13746 2.40999 
-0.435838 1.26942 
-0.733209 -0.0830634 
-0.509286 2.09502 
-0.596959 0.135312 
-0.600393 -0.503825 
-0.948046 -0.0119157 
-0.611219 0.454056 
-0.718651 1.0899 
-0.438052 2.04759 
-0.355666 0.673251 
0.0840372 0.934208 
-0.392066 1.37878 
-1.4338 1.40632 
0.525682 1.64254 
-0.286043 0.945469 
-1.05146 1.56424 
-0.585578 1.87655 
-1.17589 1.10092 
-0.322713 2.69502 
-0.50825 2.3715 
0.502177 2.36707 
-0.270469 -0.151397 
-0.294366 1.18447 
1.43142 3.55388 
2.61776 3.41218 
1.19799 0.461169 
0.353876 1.89734 
1.29551 3.22962 
0.421311 2.76402 
1.04003 2.29213 
-0.403945 0.224604 
0.108096 0.23485 
0.178115 -0.140819 
-0.00995655 0.252735 
-0.297946 1.01562 
-0.899475 0.791375 
-0.691421 -1.17016 
-1.28609 -0.582764 
0.131285 -0.499404 
-0.19228 0.664393 
-0.236398 0.621293 
1.37344 1.12701 
0.707023 1.23336 
-0.355853 0.423687 
0.39429 1.01492 
-0.459907 1.07433 
1.80561 1.97779 
0.57698 2.15266 
0.117277 0.239438 
0.525339 1.16775 
-0.117664 0.616843 
0.0857805 2.17328 
-0.353992 0.176032 
0.0878299 1.39221 
0.0315009 1.87293 
0.495857 1.51378 
-0.320227 1.47856 
-0.376661 1.31136 
-0.212603 1.44927 
-0.255638 1.31867 
0.113986 0.635355 
0.150948 0.655362 
-0.865507 0.513625 
-0.290958 0.619315 
-0.41419 0.596943 
0.182703 1.03072 
-0.777497 1.90203 
-0.403366 0.5341 
0.0290106 1.46797 
-0.281432 0.14131 
-0.424853 1.27562 
-0.580675 0.793285 
0.0989513 1.70719 
-0.713591 -0.256866 
-0.386226 0.961826 
-0.18916 1.68307 
-0.0734088 0.900906 
0.13737 0.404116 
0.0366761 2.61418 
-0.394389 1.9931 
0.426257 1.39122 
0.680946 2.67351 
0.132378 1.36931 
0.462973 2.53472 
0.166532 1.01474 
0.545892 1.82267 
-0.17054 0.688051 
-0.588604 0.807547 
-0.4782 1.13128 
-0.425989 -0.212085 
-0.890075 -0.90531 
-0.524063 -0.332514 
-0.511206 -0.305578 
-0.0131271 -0.219364 
-0.280236 1.17629 
-0.524982 0.467093 
-0.638728 1.44096 
-0.287053 1.77848 
-0.737429 -0.220584 
-0.00761916 0.523275 
-0.847144 1.80438 
-0.81465 1.3159 
-0.924775 -0.343105 
-0.522277 0.247395 
-0.678227 1.33733 
-0.893716 0.920385 
-0.869161 0.241002 
-0.174886 -0.169599 
0.132594 0.266517 
-1.33523 1.24595 
-0.138866 -0.0821566 
-0.74414 2.0707 
-0.459247 1.68477 
-0.51119 2.79609 
-1.12338 -0.137043 
-0.165942 0.609627 
-1.14616 0.595995 
-0.869503 0.822514 
-0.261203 0.751868 
-1.25249 1.12188 
-1.2531 -0.559486 
-0.760696 0.0618887 
-0.597287 1.21762 
-0.66377 -0.123015 
-1.03364 1.23572 
-0.479274 -0.322665 
-1.13395 0.309295 
-0.468971 0.402206 
-0.597151 0.39623 
-0.389018 0.624768 
-0.365198 1.05196 
-0.328363 0.221674 
-0.462302 0.342004 
-0.651262 -0.0627554 
-0.244051 0.151867 
-0.495508 -0.252515 
-0.172467 2.7192 
-0.546217 0.408554 
-0.249632 0.827163 
-0.367849 0.463404 
-0.199682 1.33198 
-1.33848 0.300582 
-0.486264 2.07355 
-0.301141 0.955535 
-0.545863 0.583925 
-0.629394 1.65027 
-0.573054 -0.124123 
-1.0781 0.390821 
-1.15901 -1.09476 
-0.0163778 2.23073 
-0.352243 1.13206 
-0.167325 0.389799 
-0.481379 0.720356 
-0.8879 -1.51507 
-0.793622 -0.26483 
-0.708779 0.0212199 
-0.130671 0.747095 
-1.68923 0.43952 
0.0114953 0.0791209 
-0.106694 -0.444922 
-1.03272 -1.10186 
-0.208963 1.48647 
-0.100174 1.00093 
-1.06196 0.518315 
-0.131176 1.26275 
-1.19899 0.00925005 
-0.959357 -0.494416 
-1.29635 -0.362783 
-0.538069 -0.604735 
-0.738359 0.241342 
-1.12829 -0.510149 
-0.638656 -0.128018 
-0.440719 1.02284 
-1.36123 1.63914 
-1.15919 -0.661424 
-0.699504 0.486923 
-0.474805 -0.283685 
-1.61803 -2.01181 
-0.664487 -0.902238 
-1.00403 -0.354459 
-0.564104 1.43778 
-1.63591 1.26968 
-1.28685 0.762133 
-0.672066 -0.00604452 
-0.268778 0.390683 
-1.31014 0.185827 
-0.192645 0.781769 
-0.921366 0.814974 
-0.899445 0.721031 
-0.840421 2.42511 
-1.45209 0.608896 
-0.570947 0.331155 
-0.4821 0.655195 
-0.626827 1.24019 
-0.802568 1.23051 
-0.871253 1.42801 
-1.06116 3.47052 
-2.10403 4.05622 
-1.39623 -0.364805 
-1.03036 1.20957 
-0.182301 1.53907 
-1.05974 1.30657 
-1.3774 0.611954 
-1.01197 1.99441 
-1.20321 1.5698 
-0.365631 2.21772 
-0.324083 2.22981 
-0.942426 0.773847 
-0.887117 0.623225 
-0.425378 0.881124 
-0.589039 0.0435233 
-0.585376 1.95053 
0.0597273 3.77548 
-1.52708 -0.453772 
-0.893207 0.451882 
-0.562618 -0.474004 
-0.142337 0.642406 
-1.11764 0.661163 
-1.31804 0.629941 
-1.1278 1.63821 
-0.743072 -1.23785 
-1.71361 -0.219391 
0.108579 -0.113109 
-0.334815 0.468615 
-1.75232 -0.331518 
-0.442163 0.291635 
-1.1059 -0.211126 
-0.100845 0.681146 
-1.23418 0.0965013 
-1.53046 0.766909 
-1.03729 0.298615 
-0.816404 2.24571 
-0.440129 -0.110738 
-0.931406 0.782908 
-0.263264 1.72251 
-0.194482 0.479607 
-0.695546 0.568769 
-1.4217 0.0390331 
-1.38864 0.516852 
-0.873486 1.68857 
-1.01117 0.636768 
-1.67969 0.448248 
-1.00184 -0.745636 
-0.495464 1.10723 
-0.288519 1.54697 
-0.494654 1.17053 
-0.496136 2.43884 
-1.17317 0.525422 
-1.08691 0.474054 
-1.14943 0.815536 
-0.419565 2.29602 
-0.0729356 2.69015 
-0.510311 0.253494 
-1.36583 -0.302579 
-0.658423 1.93981 
-1.08313 1.18031 
-0.962706 0.73265 
-1.0354 0.866492 
-0.52256 0.508267 
-0.917203 1.01222 
-0.913122 0.424707 
-0.991089 1.10674 
